day,value
2015/03/26,0.5011
2015/03/27,0.4998
2015/03/28,0.5201
2015/03/29,0.4795
2015/03/30,0.4984
2015/03/31,0.4856
2015/04/01,0.5001
2015/04/02,0.5232
2015/04/03,0.5289
2015/04/04,0.5279
2015/04/05,0.555
2015/04/06,0.5368
2015/04/07,0.5273
2015/04/08,0.4908
2015/04/09,0.4864
2015/04/10,0.4524
2015/04/11,0.4601
2015/04/12,0.4575
2015/04/13,0.4131
2015/04/14,0.3916
2015/04/15,0.41
2015/04/16,0.4285
2015/04/17,0.4078
2015/04/18,0.4099
2015/04/19,0.4089
2015/04/20,0.4149
2015/04/21,0.454
2015/04/22,0.4501
2015/04/23,0.4551
2015/04/24,0.4387
2015/04/25,0.4196
2015/04/26,0.3923
2015/04/27,0.4292
2015/04/28,0.4181
2015/04/29,0.4194
2015/04/30,0.4581
2015/05/01,0.4447
2015/05/02,0.454
2015/05/03,0.4724
2015/05/04,0.4687
2015/05/05,0.4571
2015/05/06,0.4335
2015/05/07,0.4604
2015/05/08,0.4871
2015/05/09,0.4786
2015/05/10,0.4707
2015/05/11,0.4795
2015/05/12,0.4779
2015/05/13,0.454
2015/05/14,0.4585
2015/05/15,0.4593
2015/05/16,0.4552
2015/05/17,0.4552
2015/05/18,0.4412
2015/05/19,0.4389
2015/05/20,0.4465
2015/05/21,0.4513
2015/05/22,0.4723
2015/05/23,0.4644
2015/05/24,0.4726
2015/05/25,0.4576
2015/05/26,0.4575
2015/05/27,0.4562
2015/05/28,0.457
2015/05/29,0.4553
2015/05/30,0.4414
2015/05/31,0.4274
2015/06/01,0.4043
2015/06/02,0.4133
2015/06/03,0.4124
2015/06/04,0.4077
2015/06/05,0.4099
2015/06/06,0.4119
2015/06/07,0.4058
2015/06/08,0.4244
2015/06/09,0.4273
2015/06/10,0.4252
2015/06/11,0.4286
2015/06/12,0.4308
2015/06/13,0.4387
2015/06/14,0.4425
2015/06/15,0.4559
2015/06/16,0.5081
2015/06/17,0.4967
2015/06/18,0.4999
2015/06/19,0.4777
2015/06/20,0.4874
2015/06/21,0.4814
2015/06/22,0.4942
2015/06/23,0.4804
2015/06/24,0.4674
2015/06/25,0.4748
2015/06/26,0.4746
2015/06/27,0.5066
2015/06/28,0.497
2015/06/29,0.5289
2015/06/30,0.5538
2015/07/01,0.5328
2015/07/02,0.5206
2015/07/03,0.5222
2015/07/04,0.5432
2015/07/05,0.5875
2015/07/06,0.5759
2015/07/07,0.5614
2015/07/08,0.5786
2015/07/09,0.5746
2015/07/10,0.6445
2015/07/11,0.6747
2015/07/12,0.7602
2015/07/13,0.6662
2015/07/14,0.6468
2015/07/15,0.6334
2015/07/16,0.6003
2015/07/17,0.6066
2015/07/18,0.5887
2015/07/19,0.5805
2015/07/20,0.5985
2015/07/21,0.5875
2015/07/22,0.5915
2015/07/23,0.5875
2015/07/24,0.6417
2015/07/25,0.6398
2015/07/26,0.6531
2015/07/27,0.6555
2015/07/28,0.66
2015/07/29,0.6348
2015/07/30,0.6248
2015/07/31,0.6095
2015/08/01,0.5946
2015/08/02,0.596
2015/08/03,0.5941
2015/08/04,0.6019
2015/08/05,0.5875
2015/08/06,0.5712
2015/08/07,0.5711
2015/08/08,0.4952
2015/08/09,0.511
2015/08/10,0.5066
2015/08/11,0.5293
2015/08/12,0.5195
2015/08/13,0.5025
2015/08/14,0.507
2015/08/15,0.4881
2015/08/16,0.477
2015/08/17,0.4728
2015/08/18,0.4569
2015/08/19,0.3633
2015/08/20,0.3907
2015/08/21,0.3822
2015/08/22,0.3709
2015/08/23,0.3639
2015/08/24,0.3103
2015/08/25,0.3436
2015/08/26,0.3551
2015/08/27,0.347
2015/08/28,0.3736
2015/08/29,0.3625
2015/08/30,0.3603
2015/08/31,0.3657
2015/09/01,0.3557
2015/09/02,0.3597
2015/09/03,0.3524
2015/09/04,0.3625
2015/09/05,0.3766
2015/09/06,0.3898
2015/09/07,0.3934
2015/09/08,0.4025
2015/09/09,0.3833
2015/09/10,0.385
2015/09/11,0.388
2015/09/12,0.3709
2015/09/13,0.3563
2015/09/14,0.3546
2015/09/15,0.353
2015/09/16,0.3479
2015/09/17,0.3604
2015/09/18,0.3586
2015/09/19,0.3548
2015/09/20,0.3523
2015/09/21,0.3391
2015/09/22,0.3489
2015/09/23,0.3484
2015/09/24,0.3602
2015/09/25,0.363
2015/09/26,0.3611
2015/09/27,0.3555
2015/09/28,0.375
2015/09/29,0.368
2015/09/30,0.3638
2015/10/01,0.3685
2015/10/02,0.3665
2015/10/03,0.3713
2015/10/04,0.3696
2015/10/05,0.374
2015/10/06,0.3925
2015/10/07,0.3815
2015/10/08,0.3798
2015/10/09,0.3831
2015/10/10,0.3857
2015/10/11,0.3918
2015/10/12,0.3847
2015/10/13,0.3958
2015/10/14,0.4054
2015/10/15,0.4106
2015/10/16,0.4347
2015/10/17,0.4603
2015/10/18,0.4319
2015/10/19,0.4373
2015/10/20,0.4563
2015/10/21,0.4443
2015/10/22,0.4651
2015/10/23,0.4769
2015/10/24,0.4948
2015/10/25,0.4995
2015/10/26,0.5006
2015/10/27,0.5319
2015/10/28,0.5622
2015/10/29,0.5986
2015/10/30,0.6421
2015/10/31,0.5875
2015/11/01,0.6336
2015/11/02,0.7348
2015/11/03,0.9421
2015/11/04,0.9662
2015/11/05,0.8826
2015/11/06,0.8132
2015/11/07,0.8722
2015/11/08,0.7998
2015/11/09,0.8357
2015/11/10,0.6518
2015/11/11,0.5356
2015/11/12,0.6505
2015/11/13,0.6455
2015/11/14,0.6206
2015/11/15,0.5777
2015/11/16,0.615
2015/11/17,0.6265
2015/11/18,0.6251
2015/11/19,0.5866
2015/11/20,0.5696
2015/11/21,0.5806
2015/11/22,0.572
2015/11/23,0.5678
2015/11/24,0.5558
2015/11/25,0.5823
2015/11/26,0.6833
2015/11/27,0.691
2015/11/28,0.6774
2015/11/29,0.7333
2015/11/30,0.7568
2015/12/01,0.6956
2015/12/02,0.675
2015/12/03,0.68
2015/12/04,0.6837
2015/12/05,0.789
2015/12/06,0.7987
2015/12/07,0.7962
2015/12/08,0.8686
2015/12/09,0.8829
2015/12/10,0.8765
2015/12/11,1.0265
2015/12/12,0.9435
2015/12/13,0.9424
2015/12/14,0.9697
2015/12/15,1.061
2015/12/16,1.0054
2015/12/17,1.0109
2015/12/18,1.0375
2015/12/19,1.0236
2015/12/20,0.9277
2015/12/21,0.9087
2015/12/22,0.8971
2015/12/23,0.9192
2015/12/24,0.9644
2015/12/25,0.9624
2015/12/26,0.8018
2015/12/27,0.8239
2015/12/28,0.8071
2015/12/29,0.847
2015/12/30,0.8218
2015/12/31,0.8341
2016/01/01,0.8424
2016/01/02,0.8378
2016/01/03,0.8178
2016/01/04,0.8263
2016/01/05,0.8167
2016/01/06,0.8096
2016/01/07,0.9016
2016/01/08,0.89
2016/01/09,0.8622
2016/01/10,0.8518
2016/01/11,0.8516
2016/01/12,0.8374
2016/01/13,0.7829
2016/01/14,0.7687
2016/01/15,0.5563
2016/01/16,0.6127
2016/01/17,0.615
2016/01/18,0.6084
2016/01/19,0.5868
2016/01/20,0.7133
2016/01/21,0.6733
2016/01/22,0.5737
2016/01/23,0.6096
2016/01/24,0.6495
2016/01/25,0.6129
2016/01/26,0.6109
2016/01/27,0.6149
2016/01/28,0.5674
2016/01/29,0.5634
2016/01/30,0.5555
2016/01/31,0.5173
2016/02/01,0.5344
2016/02/02,0.5377
2016/02/03,0.5222
2016/02/04,0.5789
2016/02/05,0.5688
2016/02/06,0.5353
2016/02/07,0.535
2016/02/08,0.5206
2016/02/09,0.5266
2016/02/10,0.5414
2016/02/11,0.5316
2016/02/12,0.5458
2016/02/13,0.5659
2016/02/14,0.604
2016/02/15,0.5875
2016/02/16,0.6077
2016/02/17,0.6348
2016/02/18,0.646
2016/02/19,0.637
2016/02/20,0.7017
2016/02/21,0.6908
2016/02/22,0.685
2016/02/23,0.6286
2016/02/24,0.6343
2016/02/25,0.6313
2016/02/26,0.6399
2016/02/27,0.6523
2016/02/28,0.6513
2016/02/29,0.6606
2016/03/01,0.6409
2016/03/02,0.6177
2016/03/03,0.6024
2016/03/04,0.5694
2016/03/05,0.5336
2016/03/06,0.5516
2016/03/07,0.573
2016/03/08,0.565
2016/03/09,0.5633
2016/03/10,0.5712
2016/03/11,0.5762
2016/03/12,0.5501
2016/03/13,0.5517
2016/03/14,0.5544
2016/03/15,0.5544
2016/03/16,0.5539
2016/03/17,0.5559
2016/03/18,0.5266
2016/03/19,0.52
2016/03/20,0.5305
2016/03/21,0.5257
2016/03/22,0.5365
2016/03/23,0.5382
2016/03/24,0.5273
2016/03/25,0.5269
2016/03/26,0.5268
2016/03/27,0.546
2016/03/28,0.5367
2016/03/29,0.516
2016/03/30,0.5061
2016/03/31,0.5103
2016/04/01,0.5111
2016/04/02,0.5156
2016/04/03,0.5092
2016/04/04,0.5097
2016/04/05,0.5148
2016/04/06,0.5097
2016/04/07,0.5057
2016/04/08,0.4968
2016/04/09,0.4888
2016/04/10,0.498
2016/04/11,0.4988
2016/04/12,0.5047
2016/04/13,0.4976
2016/04/14,0.4966
2016/04/15,0.5058
2016/04/16,0.5055
2016/04/17,0.4961
2016/04/18,0.4947
2016/04/19,0.5103
2016/04/20,0.5206
2016/04/21,0.5395
2016/04/22,0.5282
2016/04/23,0.5356
2016/04/24,0.5521
2016/04/25,0.5504
2016/04/26,0.5651
2016/04/27,0.5081
2016/04/28,0.516
2016/04/29,0.5298
2016/04/30,0.5073
2016/05/01,0.5154
2016/05/02,0.4946
2016/05/03,0.5052
2016/05/04,0.4957
2016/05/05,0.4973
2016/05/06,0.5232
2016/05/07,0.5154
2016/05/08,0.5129
2016/05/09,0.516
2016/05/10,0.4885
2016/05/11,0.4903
2016/05/12,0.4936
2016/05/13,0.4942
2016/05/14,0.4909
2016/05/15,0.4939
2016/05/16,0.4856
2016/05/17,0.4785
2016/05/18,0.4786
2016/05/19,0.4502
2016/05/20,0.4515
2016/05/21,0.4528
2016/05/22,0.4426
2016/05/23,0.4504
2016/05/24,0.4543
2016/05/25,0.4597
2016/05/26,0.4679
2016/05/27,0.5086
2016/05/28,0.63
2016/05/29,0.6177
2016/05/30,0.6377
2016/05/31,0.6281
2016/06/01,0.6437
2016/06/02,0.6398
2016/06/03,0.7136
2016/06/04,0.7179
2016/06/05,0.7168
2016/06/06,0.7409
2016/06/07,0.718
2016/06/08,0.7274
2016/06/09,0.71
2016/06/10,0.7104
2016/06/11,0.7526
2016/06/12,0.9449
2016/06/13,1.033
2016/06/14,0.9746
2016/06/15,0.99
2016/06/16,1.2002
2016/06/17,1.144
2016/06/18,1.1599
2016/06/19,1.1752
2016/06/20,1.0789
2016/06/21,0.8807
2016/06/22,0.6947
2016/06/23,0.7668
2016/06/24,0.8596
2016/06/25,0.8678
2016/06/26,0.7714
2016/06/27,0.8151
2016/06/28,0.8083
2016/06/29,0.7818
2016/06/30,0.8642
2016/07/01,0.8762
2016/07/02,0.9125
2016/07/03,0.8361
2016/07/04,0.868
2016/07/05,0.8364
2016/07/06,0.8541
2016/07/07,0.7594
2016/07/08,0.8218
2016/07/09,0.7894
2016/07/10,0.7777
2016/07/11,0.7717
2016/07/12,0.8213
2016/07/13,0.7868
2016/07/14,0.7868
2016/07/15,0.7979
2016/07/16,0.7893
2016/07/17,0.8214
2016/07/18,0.8092
2016/07/19,0.8051
2016/07/20,0.793
2016/07/21,0.7767
2016/07/22,0.7406
2016/07/23,0.7474
2016/07/24,0.7566
2016/07/25,0.7392
2016/07/26,0.7291
2016/07/27,0.7359
2016/07/28,0.7335
2016/07/29,0.7338
2016/07/30,0.7247
2016/07/31,0.6555
2016/08/01,0.6158
2016/08/02,0.4471
2016/08/03,0.536
2016/08/04,0.5513
2016/08/05,0.548
2016/08/06,0.5678
2016/08/07,0.5754
2016/08/08,0.5693
2016/08/09,0.5565
2016/08/10,0.5675
2016/08/11,0.5564
2016/08/12,0.552
2016/08/13,0.5459
2016/08/14,0.5185
2016/08/15,0.511
2016/08/16,0.5278
2016/08/17,0.5134
2016/08/18,0.5126
2016/08/19,0.5126
2016/08/20,0.5256
2016/08/21,0.5208
2016/08/22,0.527
2016/08/23,0.519
2016/08/24,0.5095
2016/08/25,0.5043
2016/08/26,0.5056
2016/08/27,0.487
2016/08/28,0.4935
2016/08/29,0.4897
2016/08/30,0.4938
2016/08/31,0.4845
2016/09/01,0.4823
2016/09/02,0.4844
2016/09/03,0.5206
2016/09/04,0.5405
2016/09/05,0.5348
2016/09/06,0.5398
2016/09/07,0.5442
2016/09/08,0.562
2016/09/09,0.5535
2016/09/10,0.5533
2016/09/11,0.5202
2016/09/12,0.519
2016/09/13,0.5185
2016/09/14,0.5195
2016/09/15,0.5128
2016/09/16,0.5125
2016/09/17,0.5085
2016/09/18,0.5123
2016/09/19,0.51
2016/09/20,0.5066
2016/09/21,0.4849
2016/09/22,0.4815
2016/09/23,0.4909
2016/09/24,0.4879
2016/09/25,0.4828
2016/09/26,0.4919
2016/09/27,0.4869
2016/09/28,0.4839
2016/09/29,0.4838
2016/09/30,0.4876
2016/10/01,0.495
2016/10/02,0.4871
2016/10/03,0.4877
2016/10/04,0.4814
2016/10/05,0.4832
2016/10/06,0.4802
2016/10/07,0.4865
2016/10/08,0.4851
2016/10/09,0.4802
2016/10/10,0.4777
2016/10/11,0.5175
2016/10/12,0.5072
2016/10/13,0.5035
2016/10/14,0.5071
2016/10/15,0.5035
2016/10/16,0.506
2016/10/17,0.4997
2016/10/18,0.4944
2016/10/19,0.4816
2016/10/20,0.4798
2016/10/21,0.4796
2016/10/22,0.5121
2016/10/23,0.5061
2016/10/24,0.5027
2016/10/25,0.5065
2016/10/26,0.5369
2016/10/27,0.5504
2016/10/28,0.5547
2016/10/29,0.5978
2016/10/30,0.5653
2016/10/31,0.5648
2016/11/01,0.6126
2016/11/02,0.618
2016/11/03,0.5373
2016/11/04,0.5602
2016/11/05,0.5608
2016/11/06,0.5712
2016/11/07,0.5592
2016/11/08,0.5613
2016/11/09,0.5783
